Episode,Step,PredictedBehavior,ActionX,ActionY,ActionZ,FollowerX,FollowerY,FollowerZ,LeaderX,LeaderY,LeaderZ,FollowerVx,FollowerVy,FollowerVz,LeaderVx,LeaderVy,LeaderVz,TrueLabel
1,0,Hover,4.098549842834473,4.036611557006836,-0.49411195516586304,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1,Hover,0.7731079459190369,0.4854571223258972,0.7312542200088501,0.8197099566459656,0.8073223233222961,0.9011775851249695,1.0,1.0,1.0,16.39419937133789,16.146446228027344,-1.9764482975006104,0.0,0.0,0.0,0
1,2,Hover,0.017230411991477013,0.1585356593132019,-0.5110907554626465,0.9743315577507019,0.9044137597084045,1.0474284887313843,1.0,1.0,1.0,3.0924320220947266,1.941828727722168,2.925018072128296,0.0,0.0,0.0,0
1,3,Hover,0.3593671917915344,-0.06616947054862976,0.23540367186069489,0.9777776598930359,0.936120867729187,0.945210337638855,1.0,1.0,1.0,0.06892204284667969,0.6341421604156494,-2.044363021850586,0.0,0.0,0.0,0
1,4,Hover,-0.1681877076625824,0.10090017318725586,-0.15366578102111816,1.0496511459350586,0.9228869676589966,0.9922910928726196,1.0,1.0,1.0,1.437469720840454,-0.2646780014038086,0.941615104675293,0.0,0.0,0.0,0
1,5,Hover,0.11753851175308228,-0.1361674964427948,0.11498885601758957,1.0160136222839355,0.9430670142173767,0.961557924747467,1.0,1.0,1.0,-0.6727504730224609,0.40360093116760254,-0.6146633625030518,0.0,0.0,0.0,0
1,6,Hover,-0.06557212024927139,0.11564943939447403,-0.09424784034490585,1.039521336555481,0.9158335328102112,0.984555721282959,1.0,1.0,1.0,0.4701542854309082,-0.5446696281433105,0.45995593070983887,0.0,0.0,0.0,0
1,7,Hover,0.047730013728141785,-0.10160310566425323,0.08234796673059464,1.0264068841934204,0.9389634132385254,0.9657061696052551,1.0,1.0,1.0,-0.26228904724121094,0.4625976085662842,-0.37699103355407715,0.0,0.0,0.0,0
1,8,Hover,-0.036817070096731186,0.08054429292678833,-0.06908991932868958,1.0359529256820679,0.9186428189277649,0.9821757674217224,1.0,1.0,1.0,0.19092082977294922,-0.40641188621520996,0.3293919563293457,0.0,0.0,0.0,0
1,9,Hover,0.03117019683122635,-0.06533399224281311,0.05773283913731575,1.0285894870758057,0.9347516894340515,0.9683578014373779,1.0,1.0,1.0,-0.14726877212524414,0.3221774101257324,-0.27635931968688965,0.0,0.0,0.0,0
1,10,Hover,-0.02619129978120327,0.052437976002693176,-0.04731673002243042,1.0348235368728638,0.9216848611831665,0.9799043536186218,1.0,1.0,1.0,0.12468099594116211,-0.2613365650177002,0.23093104362487793,0.0,0.0,0.0,0
1,11,Hover,0.021887365728616714,-0.04267171025276184,0.038658663630485535,1.0295852422714233,0.9321724772453308,0.9704409837722778,1.0,1.0,1.0,-0.1047658920288086,0.20975232124328613,-0.18926739692687988,0.0,0.0,0.0,0
1,12,Hover,-0.018061386421322823,0.034785196185112,-0.031525105237960815,1.0339627265930176,0.923638105392456,0.9781727194786072,1.0,1.0,1.0,0.08754968643188477,-0.17068743705749512,0.15463471412658691,0.0,0.0,0.0,0
1,13,Hover,0.014778430573642254,-0.028452228754758835,0.02571108378469944,1.0303504467010498,0.9305951595306396,0.9718676805496216,1.0,1.0,1.0,-0.07224559783935547,0.13914108276367188,-0.12610077857971191,0.0,0.0,0.0,0
1,14,Hover,-0.01207919791340828,0.02327827177941799,-0.021005287766456604,1.0333061218261719,0.9249047040939331,0.9770098924636841,1.0,1.0,1.0,0.059113502502441406,-0.11380910873413086,0.10284423828125,0.0,0.0,0.0,0
1,15,Hover,0.009847860783338547,-0.019038569182157516,0.017157290130853653,1.0308902263641357,0.9295603632926941,0.972808837890625,1.0,1.0,1.0,-0.048317909240722656,0.09311318397521973,-0.08402109146118164,0.0,0.0,0.0,0
1,16,Hover,-0.008047875948250294,0.015570120885968208,-0.014029699377715588,1.0328598022460938,0.9257526397705078,0.9762402772903442,1.0,1.0,1.0,0.039391517639160156,-0.07615447044372559,0.06862878799438477,0.0,0.0,0.0,0
1,17,Hover,0.006569291930645704,-0.012726210057735443,0.011465422809123993,1.031250238418579,0.9288666844367981,0.973434329032898,1.0,1.0,1.0,-0.03219127655029297,0.062280893325805664,-0.05611896514892578,0.0,0.0,0.0,0
1,18,Hover,-0.005372493527829647,0.010403292253613472,-0.009375724010169506,1.0325640439987183,0.9263214468955994,0.9757274389266968,1.0,1.0,1.0,0.026276111602783203,-0.05090475082397461,0.04586219787597656,0.0,0.0,0.0,0
1,19,Hover,0.004390224814414978,-0.008501697331666946,0.0076623521745204926,1.0314894914627075,0.9284021258354187,0.973852276802063,1.0,1.0,1.0,-0.021491050720214844,0.04161357879638672,-0.03750324249267578,0.0,0.0,0.0,0
1,20,Hover,-0.003590893466025591,0.006949791684746742,-0.0062643131241202354,1.0323675870895386,0.9267017841339111,0.9753847718238831,1.0,1.0,1.0,0.017561912536621094,-0.03400683403015137,0.030649900436401367,0.0,0.0,0.0,0
1,21,Hover,0.0029342786874622107,-0.0056807720102369785,0.0051198662258684635,1.0316493511199951,0.9280917644500732,0.9741318821907043,1.0,1.0,1.0,-0.01436471939086914,0.027799606323242188,-0.02505779266357422,0.0,0.0,0.0,0
1,22,Hover,-0.00239905109629035,0.004644185304641724,-0.004185476340353489,1.0322362184524536,0.9269555807113647,0.9751558303833008,1.0,1.0,1.0,0.011737346649169922,-0.022723674774169922,0.02047896385192871,0.0,0.0,0.0,0
